编号,所属类型,所属板块,所属政党,内容
0_0_99_001,政策,市场,通用,更改仓储容量，消耗：金钱 | 正面效果：调整国家战略商品仓储容量上限 | 副作用/风险：无
0_5_0_005,政策,社会,威权,爱国主义课程，消耗：声量 | 正面效果：大幅增强学生民族主义倾向 | 副作用/风险：知识分子阶层反对严重
0_1_0_001,政策,产业,威权,国家控股令，消耗：权威、大量金钱 | 正面效果：大幅增强关键产业控制、提升军工效率 | 副作用/风险：市场效率下降严重、资本家激进化严重
0_1_0_002,政策,产业,威权,战略产业征用，消耗：大量权威 | 正面效果：大幅提升军工产能、增强国家控制 | 副作用/风险：资本家叛乱风险极严重、经济稳定下降
0_4_0_001,政策,国库财政,威权,产业补贴计划，消耗：大量金钱 | 正面效果：大幅增加目标产业产出 | 副作用/风险：财政赤字上升严重
0_0_0_001,政策,市场,威权,国家垄断建立，消耗：权威 | 正面效果：增加国家收入、增强控制力 | 副作用/风险：市场活力下降严重、小资产阶级激进化严重
0_4_0_002,政策,国库财政,威权,高税率强制征收，消耗：权威 | 正面效果：大幅增加国家收入 | 副作用/风险：资产阶级激进化极严重、经济活力下降严重
0_5_0_006,政策,社会,威权,国家调节分配，消耗：权威、声量 | 正面效果：增强社会稳定、增加底层支持 | 副作用/风险：行政成本上升
0_4_0_003,政策,国库财政,威权,军费优先拨款，消耗：权威、金钱 | 正面效果：提升军事效率、增强军队忠诚 | 副作用/风险：消费品短缺严重、民用产业受损严重
0_5_0_007,政策,社会,威权,特殊阶层补贴，消耗：权威 | 正面效果：增加目标阶层支持 | 副作用/风险：其他阶层激进化严重
0_1_0_003,政策,产业,威权,国家劳动力调配，消耗：权威 | 正面效果：大幅增加战略产业劳动力 | 副作用/风险：工人不满严重、自由度下降严重
0_1_0_004,政策,产业,威权,军工劳动力征调，消耗：权威 | 正面效果：提升军工产出严重 | 副作用/风险：消费品产业受损严重、工人激进化严重
0_1_0_005,政策,产业,威权,劳动力户籍限制，消耗：权威 | 正面效果：增强劳动力控制、提升稳定 | 副作用/风险：流动性下降严重、效率下降
0_0_0_002,政策,市场,威权,扩大商品存储上限，消耗：权威、金钱 | 正面效果：扩大战略商品存储上限、增强物资储备 | 副作用/风险：存在失败率；失败导致政局动荡或激进派上升
0_4_0_004,政策,国库财政,威权,产业亏损补贴，消耗：大量金钱、权威 | 正面效果：设定阈值自动触发国家财政补贴、稳定关键产业 | 副作用/风险：财政赤字上升严重、市场效率下降
0_0_0_003,政策,市场,威权,国家投行化，消耗：大量权威、金钱 | 正面效果：国家直接注资银行业、提升信贷额度与投资速度 | 副作用/风险：市场活力下降严重、资本家激进化
0_0_0_004,政策,市场,威权,信贷优先级干预，消耗：权威 | 正面效果：设置银行业投资偏好（优先军工/重工业） | 副作用/风险：消费品产业信贷短缺、民用产业受损
0_2_0_012,政策,军事,威权,军工价格折扣政策，消耗：权威、金钱 | 正面效果：降低国家购买武器单价、节省军费开支 | 副作用/风险：军工厂商利润削减、厂商可能缩减规模
0_0_0_005,政策,市场,威权,战略储备市场管理，消耗：权威、金钱 | 正面效果：投入市场：供<求时释放缺口赚取利润；直接丢弃：快速销毁库存腾挪仓储 | 副作用/风险：投入市场可能引发价格波动；丢弃可能人为制造稀缺引发激进化
0_7_0_001,政策,外交,威权,强权外交声明，消耗：威望、权威 | 正面效果：扩展势力范围、大幅增强外交威慑 | 副作用/风险：外交恶名上升严重、对手敌意上升严重
0_7_0_002,政策,外交,威权,军事同盟建立，消耗：威望 | 正面效果：提升同盟军事效率、获得外交支持 | 副作用/风险：同盟义务、资源消耗
0_7_0_003,政策,外交,威权,势力范围声明，消耗：权威、威望 | 正面效果：大幅增强区域控制、提升外交主导 | 副作用/风险：外交冲突风险极严重
0_7_0_004,政策,外交,威权,不结盟声明，消耗：声量 | 正面效果：增强外交灵活性、降低恶名 | 副作用/风险：同盟支持下降
0_8_0_003,政策,情报,威权,国家情报渗透，消耗：权威、金钱 | 正面效果：大幅增强目标国情报、提升渗透成功率 | 副作用/风险：曝光风险严重、恶名上升严重
0_8_0_004,政策,情报,威权,政变支持，消耗：权威、威望 | 正面效果：大幅提高目标国政权变更概率 | 副作用/风险：曝光后恶名极严重、外交冲突风险严重
0_8_0_005,政策,情报,威权,渗透网络建立，消耗：金钱、权威 | 正面效果：增强长期情报优势 | 副作用/风险：维护成本持续消耗
0_8_0_006,政策,情报,威权,技术窃取行动，消耗：权威、金钱 | 正面效果：提高目标技术获取概率 | 副作用/风险：曝光风险严重、外交冲突
0_7_0_005,政策,外交,威权,傀儡国建立，消耗：权威、威望 | 正面效果：增加傀儡国收入、大幅增强控制 | 副作用/风险：管理成本上升严重、傀儡叛乱风险
0_7_0_006,政策,外交,威权,从属国条约，消耗：威望 | 正面效果：大幅增强从属国外交支持 | 副作用/风险：从属国自治要求
0_7_0_007,政策,外交,威权,势力范围傀儡，消耗：权威、声量 | 正面效果：增强傀儡稳定性 | 副作用/风险：傀儡激进化风险
0_6_0_001,政策,科技,威权,国家需求导向科研，消耗：权威、金钱 | 正面效果：大幅增强国家需求领域科研 | 副作用/风险：其他领域科研滞后严重
0_6_0_002,政策,科技,威权,军工科研优先，消耗：权威、金钱 | 正面效果：大幅增强军事科技、提升军工效率 | 副作用/风险：消费品科研滞后严重、创新下降严重
0_6_0_003,政策,科技,威权,技术引进计划，消耗：大量金钱、威望 | 正面效果：大幅获取技术、缩短科研周期 | 副作用/风险：依赖外部严重、自主创新下降严重
0_6_0_004,政策,科技,威权,国家科研集中，消耗：权威、大量金钱 | 正面效果：提升科研效率、增强国家控制 | 副作用/风险：市场创新活力下降严重
0_6_0_005,政策,科技,威权,科研军事化，消耗：权威 | 正面效果：大幅增强军事科研、提升保密性 | 副作用/风险：学术自由下降严重、知识分子激进化严重
0_6_0_006,政策,科技,威权,国家实验室建设，消耗：大量金钱、权威 | 正面效果：提升科研产出、增加国家专利 | 副作用/风险：财政成本消耗极高
0_6_0_007,政策,科技,威权,国家考试选拔，消耗：金钱 | 正面效果：提升人才效率、增强公平性 | 副作用/风险：选拔周期延迟
0_6_0_008,政策,科技,威权,军官技术培训，消耗：权威、金钱 | 正面效果：增加军事技术人才 | 副作用/风险：民用人才流失严重
0_6_0_009,政策,科技,威权,忠诚度审查筛选，消耗：权威 | 正面效果：增加人才忠诚、增强安全 | 副作用/风险：人才数量下降、创新下降严重
0_5_0_008,政策,社会,威权,国家迁移控制，消耗：权威 | 正面效果：大幅增强人口控制、提升稳定 | 副作用/风险：流动性下降严重、效率下降严重
0_5_0_009,政策,社会,威权,强制迁移令，消耗：权威、金钱 | 正面效果：大幅增加战略区域人口 | 副作用/风险：迁移反抗严重、激进化严重
0_5_0_010,政策,社会,威权,边境人口限制，消耗：权威 | 正面效果：增强边境稳定 | 副作用/风险：贸易下降严重、经济活力下降严重
0_5_0_011,政策,社会,威权,战略区人口征调，消耗：权威、声量 | 正面效果：增加战略区劳动力 | 副作用/风险：其他区域受损严重、反抗严重
0_5_0_012,政策,社会,威权,限制移民法令，消耗：权威 | 正面效果：增强国内稳定、降低外来激进化 | 副作用/风险：劳动力短缺严重、经济活力下降严重
0_5_0_013,政策,社会,威权,技术移民优先，消耗：权威、金钱 | 正面效果：增加技术人才、提升科研效率 | 副作用/风险：其他移民反对严重
0_5_0_014,政策,社会,威权,民族优先移民，消耗：声量、权威 | 正面效果：增强民族凝聚力 | 副作用/风险：外交恶名上升严重、多元文化反对严重
0_5_0_015,政策,社会,威权,国家荣誉称号授予，消耗：威望、权威 | 正面效果：增加目标忠诚、提升声量 | 副作用/风险：其他阶层羡慕激进化
0_2_0_013,政策,军事,威权,军官团授勋，消耗：权威、声量 | 正面效果：大幅增强军队忠诚、提升军队声量 | 副作用/风险：贵族阶层反对严重
0_5_0_016,政策,社会,威权,国家功勋勋章，消耗：威望 | 正面效果：大幅增强功勋人员忠诚、增强激励效应 | 副作用/风险：持续授予成本消耗
0_5_0_017,政策,社会,威权,国家福利计划，消耗：金钱、声量 | 正面效果：增加底层支持、降低激进度 | 副作用/风险：财政赤字严重、资产阶级反对严重
0_2_0_014,政策,军事,威权,军人福利优先，消耗：权威、金钱 | 正面效果：大幅增强军队忠诚、提升军队稳定 | 副作用/风险：其他阶层不满严重
0_5_0_018,政策,社会,威权,国家保险建立，消耗：金钱、声量 | 正面效果：增强社会稳定、降低激进度 | 副作用/风险：财政持续支出严重
0_5_0_019,政策,社会,威权,有限公民权法案，消耗：权威 | 正面效果：增强稳定、提升控制 | 副作用/风险：民主声量激进化严重
0_5_0_020,政策,社会,威权,公民权限制令，消耗：权威 | 正面效果：大幅增强控制力、提升稳定 | 副作用/风险：激进派激进化极严重
0_5_0_021,政策,社会,威权,特权阶层公民权，消耗：权威 | 正面效果：增加特权阶层忠诚 | 副作用/风险：其他阶层激进化严重
0_2_1_001,政策,军事,民主,国防动员投票，消耗：声量、金钱 | 正面效果：获得民主授权动员、增强军队忠诚 | 副作用/风险：国会辩论周期、决策延迟
0_2_1_002,政策,军事,民主,民兵征召法案，消耗：声量、金钱 | 正面效果：快速动员、降低成本 | 副作用/风险：训练质量下降、职业军人反对
0_2_1_003,政策,军事,民主,预备役激活，消耗：金钱 | 正面效果：大幅增加兵源、加快动员速度 | 副作用/风险：预备役训练滞后
0_2_1_004,政策,军事,民主,战时特别授权，消耗：声量、权威 | 正面效果：提升军事效率、加快决策速度 | 副作用/风险：民权临时下降、战后审查风险
0_2_1_005,政策,军事,民主,宪兵执法令，消耗：金钱、声量 | 正面效果：降低动乱、维护法治 | 副作用/风险：司法成本上升
0_3_1_001,政策,内政,民主,司法程序处理，消耗：金钱 | 正面效果：依法处理激进派、维护法治 | 副作用/风险：处理周期长、效率低
0_3_1_002,政策,内政,民主,紧急状态声明，消耗：声量、少量权威 | 正面效果：控制动乱、提升稳定 | 副作用/风险：民权临时下降、国会监督
0_2_1_006,政策,军事,民主,公民自卫授权，消耗：声量 | 正面效果：增强自发防卫、提升民兵忠诚 | 副作用/风险：武器扩散风险、治安风险
0_2_1_007,政策,军事,民主,国会军官审核，消耗：声量、金钱 | 正面效果：增强军官合法性、提升民主控制 | 副作用/风险：审核周期长、效率下降
0_2_1_008,政策,军事,民主,职业晋升制度，消耗：金钱 | 正面效果：提升军队效率、增强公平性 | 副作用/风险：政治忠诚度不保证
0_2_1_009,政策,军事,民主,军官公开选拔，消耗：声量 | 正面效果：增强公众信任、提升军队透明度 | 副作用/风险：选拔周期长
0_5_1_001,政策,社会,民主,公开竞选辩论，消耗：声量、金钱 | 正面效果：增强民主声量、提升选民参与 | 副作用/风险：竞选成本高、周期长
0_5_1_002,政策,社会,民主,政策公开宣讲，消耗：声量、金钱 | 正面效果：增强政策支持度、提升透明度 | 副作用/风险：反对派同时发声
0_3_1_003,政策,内政,民主,民意调查发布，消耗：金钱 | 正面效果：增强民意了解、提供决策依据 | 副作用/风险：调查偏差风险
0_5_1_003,政策,社会,民主,选民教育计划，消耗：声量、金钱 | 正面效果：提升选民素质、增强民主参与 | 副作用/风险：教育周期长
0_3_1_004,政策,内政,民主,自由媒体政策，消耗：声量 | 正面效果：大幅增强信息流通、保障公民知情权 | 副作用/风险：舆论失控风险、反对派发声机会
0_3_1_005,政策,内政,民主,公共广播建立，消耗：金钱 | 正面效果：增强公众信息传播、提升透明度 | 副作用/风险：政府声音竞争下降
0_3_1_006,政策,内政,民主,媒体透明法案，消耗：声量 | 正面效果：增强媒体诚信、减少虚假信息 | 副作用/风险：媒体成本上升
0_3_1_007,政策,内政,民主,司法程序处理异见，消耗：金钱 | 正面效果：维护法治、增强程序正义 | 副作用/风险：处理周期长、效率低
0_3_1_008,政策,内政,民主,听证会制度，消耗：声量、金钱 | 正面效果：大幅增强公众监督、提升透明度 | 副作用/风险：时间成本消耗高
0_5_1_004,政策,社会,民主,公民申诉通道，消耗：金钱 | 正面效果：保障公民权利、提升满意度 | 副作用/风险：处理量大
0_5_1_005,政策,社会,民主,异见合法化，消耗：声量 | 正面效果：大幅增强政治包容、降低激进派 | 副作用/风险：主流价值观冲击严重
0_5_1_006,政策,社会,民主,大选组织，消耗：大量金钱、声量 | 正面效果：增强民主合法性、政权更替有序 | 副作用/风险：竞选成本高、周期长
0_5_1_007,政策,社会,民主,投票权扩大，消耗：声量 | 正面效果：大幅增加选民基数、提升民主声量 | 副作用/风险：保守派激进化严重
0_3_1_009,政策,内政,民主,选举监督委员会，消耗：声量、金钱 | 正面效果：增强选举公正、提升信任度 | 副作用/风险：监督成本消耗高
0_0_1_001,政策,市场,民主,市场监管法案，消耗：声量、金钱 | 正面效果：增强市场秩序、保护消费者 | 副作用/风险：企业成本上升、效率下降
0_0_1_002,政策,市场,民主,反垄断法案，消耗：声量、金钱 | 正面效果：增强市场竞争、削弱垄断 | 副作用/风险：大企业反对严重
0_0_1_003,政策,市场,民主,国家监管机构，消耗：金钱、声量 | 正面效果：提升监管效率、增强透明度 | 副作用/风险：行政成本上升
0_0_1_004,政策,市场,民主,私有化支持，消耗：声量 | 正面效果：大幅提升市场活力、增强效率 | 副作用/风险：国家控制下降严重、风险上升
0_4_1_001,政策,国库财政,民主,累进税制改革，消耗：声量、少量权威 | 正面效果：大幅增加底层支持、提升公平性 | 副作用/风险：富人激进化严重、资本流出风险
0_5_1_008,政策,社会,民主,社会福利法案，消耗：大量金钱、声量 | 正面效果：大幅提升底层满意度、降低激进度 | 副作用/风险：财政赤字严重
0_4_1_002,政策,国库财政,民主,最低工资法案，消耗：声量、金钱 | 正面效果：增加工人支持、提升生活水平 | 副作用/风险：企业成本上升、失业风险
0_5_1_009,政策,社会,民主,财富再分配计划，消耗：声量、权威 | 正面效果：大幅增加底层支持、大幅提升公平性 | 副作用/风险：资产阶级激进化严重
0_0_1_005,政策,市场,民主,自由贸易法案，消耗：声量、威望 | 正面效果：大幅增加贸易量、促进经济增长 | 副作用/风险：国内产业冲击严重、失业风险严重
0_0_1_006,政策,市场,民主,关税调节法案，消耗：声量、金钱 | 正面效果：保护产业、增加财政收入 | 副作用/风险：贸易量下降、效率损失
0_7_1_001,政策,外交,民主,贸易协定谈判，消耗：声量、威望 | 正面效果：增加贸易伙伴、提升外交信誉 | 副作用/风险：谈判周期长
0_0_1_007,政策,市场,民主,市场开放法案，消耗：声量 | 正面效果：大幅提升市场活力、吸引外资进入 | 副作用/风险：国内企业竞争压力严重
0_0_1_008,政策,市场,民主,扩大商品存储上限，消耗：声量、金钱 | 正面效果：扩大战略商品存储上限、增强物资储备 | 副作用/风险：存在失败率；国会辩论周期长，失败导致选民不满或激进派上升
0_4_1_003,政策,国库财政,民主,产业亏损补贴，消耗：大量金钱、声量 | 正面效果：设定阈值自动触发国家财政补贴、稳定关键产业 | 副作用/风险：财政赤字严重、国会审查周期长、资本家反对
0_0_1_009,政策,市场,民主,国家投行化，消耗：大量声量、金钱 | 正面效果：国家注资银行业、提升信贷额度与投资速度 | 副作用/风险：市场争议严重、资本家激进化、国会审查
0_0_1_010,政策,市场,民主,信贷优先级干预，消耗：声量、金钱 | 正面效果：设置银行业投资偏好（需国会批准） | 副作用/风险：消费品产业信贷短缺、市场效率下降、国会辩论
0_2_1_010,政策,军事,民主,军工价格折扣政策，消耗：声量、金钱 | 正面效果：降低国家购买武器单价、节省军费开支 | 副作用/风险：军工厂商利润削减、厂商缩减规模、国会审查
0_0_1_011,政策,市场,民主,战略储备市场管理，消耗：声量、金钱 | 正面效果：投入市场：供<求时释放缺口赚取利润；直接丢弃：需国会批准销毁库存 | 副作用/风险：投入市场可能引发价格波动争议；丢弃需国会程序周期长
0_7_1_002,政策,外交,民主,同盟外交建立，消耗：声量、威望 | 正面效果：提升同盟效率、获得外交支持 | 副作用/风险：同盟义务、资源消耗
0_7_1_003,政策,外交,民主,国际组织参与，消耗：声量、威望 | 正面效果：大幅提升国际信誉、增加外交点数 | 副作用/风险：国际义务、自主性下降
0_7_1_004,政策,外交,民主,外交援助计划，消耗：大量金钱、声量 | 正面效果：大幅增强外交支持、巩固盟友关系 | 副作用/风险：财政消耗严重
0_7_1_005,政策,外交,民主,民主输出倡议，消耗：声量、威望 | 正面效果：传播民主声量、增强影响力 | 副作用/风险：外交恶名上升、对抗风险
0_8_1_001,政策,情报,民主,技术情报交换，消耗：声量、金钱 | 正面效果：获取技术、增强情报共享 | 副作用/风险：依赖外部、保密风险
0_8_1_002,政策,情报,民主,外交情报收集，消耗：金钱、声量 | 正面效果：大幅增强外交情报、提升能见度 | 副作用/风险：合法性争议
0_8_1_003,政策,情报,民主,议会情报监督，消耗：声量 | 正面效果：增强情报透明度、提升公民信任 | 副作用/风险：情报效率下降
0_8_1_004,政策,情报,民主,合法渗透授权，消耗：声量、金钱 | 正面效果：实施合法渗透、增强外交支持 | 副作用/风险：曝光风险
0_7_1_006,政策,外交,民主,经济同盟建立，消耗：声量、威望 | 正面效果：大幅增强经济影响力、获得同盟收益 | 副作用/风险：同盟义务、财政支出
0_7_1_007,政策,外交,民主,民主同盟支持，消耗：声量、金钱 | 正面效果：增加民主盟友、输出意识形态 | 副作用/风险：外交恶名上升
0_6_1_001,政策,科技,民主,技术合作同盟，消耗：声量、金钱 | 正面效果：建立技术同盟、提升科研效率 | 副作用/风险：技术共享风险
0_6_1_002,政策,科技,民主,市场需求导向科研，消耗：声量、金钱 | 正面效果：大幅增强市场适应、提升效率 | 副作用/风险：国家战略科研滞后严重
0_5_1_010,政策,社会,民主,公民教育计划，消耗：大量金钱、声量 | 正面效果：提升人口素质、增强民主参与 | 副作用/风险：教育周期长
0_6_1_003,政策,科技,民主,职业教育推广，消耗：金钱、声量 | 正面效果：提升劳动力技能、增加就业 | 副作用/风险：技术导向单一
0_6_1_004,政策,科技,民主,自由市场竞争科研，消耗：声量 | 正面效果：提升科研效率、大幅增强创新 | 副作用/风险：国家控制下降
0_6_1_005,政策,科技,民主,公立大学建设，消耗：大量金钱、声量 | 正面效果：提升科研产出、增强教育普及 | 副作用/风险：财政成本消耗高
0_6_1_006,政策,科技,民主,科研自由法案，消耗：声量 | 正面效果：大幅增强学术自由、提升创新 | 副作用/风险：国家战略滞后严重
0_6_1_007,政策,科技,民主,市场竞争选拔，消耗：金钱 | 正面效果：提升人才效率、大幅增强公平性 | 副作用/风险：政治忠诚不保证
0_6_1_008,政策,科技,民主,公开考试选拔，消耗：声量、金钱 | 正面效果：大幅增强公平性、提升透明度 | 副作用/风险：选拔周期长
0_6_1_009,政策,科技,民主,学术自由保护，消耗：声量 | 正面效果：大幅增强学术创新、获得知识分子支持 | 副作用/风险：政治审查缺失
0_5_1_011,政策,社会,民主,自由迁移政策，消耗：声量 | 正面效果：大幅增强流动性、提升市场效率 | 副作用/风险：社会稳定性下降
0_5_1_012,政策,社会,民主,移民开放政策，消耗：声量、金钱 | 正面效果：大幅增加劳动力、促进经济活力 | 副作用/风险：社会融合风险严重
0_5_1_013,政策,社会,民主,技术移民优先，消耗：声量、金钱 | 正面效果：增加技术人才、提升科研效率 | 副作用/风险：其他移民反对
0_5_1_014,政策,社会,民主,难民接纳计划，消耗：声量、金钱 | 正面效果：大幅提升国际声誉、增强人道主义 | 副作用/风险：社会成本消耗大、融合风险
0_5_1_015,政策,社会,民主,公民荣誉授予，消耗：声量、威望 | 正面效果：增强公民忠诚、提升社会激励 | 副作用/风险：无实质权力
0_5_1_016,政策,社会,民主,功勋奖章颁发，消耗：声量、金钱 | 正面效果：增强社会激励、提升认同感 | 副作用/风险：无阶级特权
0_5_1_017,政策,社会,民主,杰出公民表彰，消耗：声量 | 正面效果：树立社会榜样、引导价值观 | 副作用/风险：其他公民羡慕
0_5_1_018,政策,社会,民主,全民福利计划，消耗：大量金钱、声量 | 正面效果：大幅增加底层支持、大幅降低激进度 | 副作用/风险：财政赤字极严重、富人反对严重
0_5_1_019,政策,社会,民主,公共医疗保障，消耗：大量金钱、声量 | 正面效果：提升健康水平、增加满意度 | 副作用/风险：财政持续支出严重
0_5_1_020,政策,社会,民主,失业保险建立，消耗：金钱、声量 | 正面效果：增强社会稳定、获得工人支持 | 副作用/风险：失业率上升风险
0_5_1_021,政策,社会,民主,养老金法案，消耗：金钱、声量 | 正面效果：增加老年支持、提升稳定 | 副作用/风险：财政长期负担严重
0_5_1_022,政策,社会,民主,全公民权法案，消耗：声量、少量权威 | 正面效果：大幅增强公民权利、大幅提升满意度 | 副作用/风险：保守派激进化极严重
0_5_1_023,政策,社会,民主,女性选举权法案，消耗：声量、金钱 | 正面效果：大幅增加女性支持、提升民主声量 | 副作用/风险：保守派反对严重
0_5_1_024,政策,社会,民主,少数族裔权利法案，消耗：声量、权威 | 正面效果：增加少数族裔支持、促进多元文化 | 副作用/风险：民族主义激进化严重
0_3_1_010,政策,内政,民主,言论自由保障，消耗：声量 | 正面效果：大幅增强公民自由、获得知识分子支持 | 副作用/风险：舆论失控风险严重
0_2_2_001,政策,军事,极权,全民战争动员，消耗：大量权威、声量 | 正面效果：大幅提升动员效率、大幅增加兵源 | 副作用/风险：消费品短缺严重、经济产出下降
0_2_2_002,政策,军事,极权,政治动员令，消耗：权威、声量 | 正面效果：大幅加快动员速度、增强意识形态忠诚 | 副作用/风险：非意识形态人口激进化
0_2_2_003,政策,军事,极权,党指挥枪制度，消耗：权威 | 正面效果：大幅增强军队服从党、提升政委控制 | 副作用/风险：军事效率下降
0_5_2_001,政策,社会,极权,群众动员大会，消耗：声量、权威 | 正面效果：增加群众参与、提升动员意愿 | 副作用/风险：持续成本消耗高
0_2_2_004,政策,军事,极权,秘密警察镇压，消耗：大量权威 | 正面效果：大幅降低动乱、大幅减少异见派 | 副作用/风险：人权争议严重、长期反弹风险
0_2_2_005,政策,军事,极权,政治清洗行动，消耗：大量权威、声量 | 正面效果：大幅增强绝对控制、消除异见派 | 副作用/风险：短期稳定下降、人才流失严重
0_5_2_002,政策,社会,极权,群众批斗大会，消耗：声量、权威 | 正面效果：公开羞辱异见派、大幅增强威慑 | 副作用/风险：社会恐怖氛围严重、长期创伤
0_2_2_006,政策,军事,极权,意识形态审查，消耗：权威 | 正面效果：大幅识别异见派、增强控制 | 副作用/风险：审查成本持续消耗、效率损失
0_2_2_007,政策,军事,极权,政委制度建立，消耗：权威、声量 | 正面效果：大幅增强军队意识形态忠诚 | 副作用/风险：军事效率下降严重、专业军官不满
0_2_2_008,政策,军事,极权,军官政治清洗，消耗：大量权威 | 正面效果：大幅增强军队绝对忠诚 | 副作用/风险：军事能力下降严重、政变风险激增后下降
0_2_2_009,政策,军事,极权,忠诚度考核制，消耗：权威、声量 | 正面效果：筛选军官忠诚 | 副作用/风险：专业能力筛选缺失严重
0_5_2_003,政策,社会,极权,意识形态全面灌输，消耗：权威、声量 | 正面效果：大幅增强意识形态声量、大幅提升忠诚 | 副作用/风险：思想僵化严重、创新下降严重
0_5_2_004,政策,社会,极权,个人崇拜建设，消耗：大量权威、声量 | 正面效果：大幅增强领袖权威、大幅提升群众忠诚 | 副作用/风险：领袖依赖风险严重、后继危机
0_5_2_005,政策,社会,极权,群众学习大会，消耗：声量、权威 | 正面效果：增强思想统一、提升参与 | 副作用/风险：时间成本消耗高、生产损失
0_5_2_006,政策,社会,极权,意识形态教材编写，消耗：权威、声量 | 正面效果：大幅增强教育控制、提升青年忠诚 | 副作用/风险：教育内容单一、创新下降严重
0_2_2_010,政策,军事,极权,异见派全面清洗，消耗：大量权威、声量 | 正面效果：消除异见派、大幅增强绝对控制 | 副作用/风险：社会恐怖严重、人才流失极严重
