生效日期,城市省份ID,城市名_中文,城市名_英文,胜利点,城市人口_原版无独立字段,人口口径,所属地区人口,所属地区ID,所属地区_中文,所属地区_英文,地区类型,地区建筑槽,本地补给,地区省份数,拥有者TAG,拥有者_中文,拥有者_英文,控制者TAG,核心TAG,宣称TAG,省份类型,地形,是否沿海,大陆,大陆ID,省份RGB,地图X,地图高度Y,地图Z,地图旋转,地图缩放,是否补给节点,补给节点等级字段,铁路经过数量,铁路最高等级,地区资源,地区建筑,本省建筑,城市特殊名_中文,城市特殊名_英文,来源州文件
base,3576,科特赖克,Kortrijk,1,,所属地区manpower,2947700,6,佛兰德斯,Flanders,metropolis,10,0.0,4,BEL,利奥波德比利时,Leopoldian Belgium,,BEL,,land,plains,false,europe,1,"44,198,98",2858.64,9.75,1532.00,1.57,0.18,no,,1,1,"{""steel"": 4}","{""air_base"": 2, ""arms_factory"": 3, ""industrial_complex"": 4, ""infrastructure"": 3}",,FRA:科特赖克,FRA:Courtrai,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\6-Belgium.txt
base,391,阿姆斯特丹,Amsterdam,40,,所属地区manpower,4123000,7,荷兰,Holland,metropolis,10,0.0,5,HOL,荷兰王国,Kingdom of Netherlands,,HOL,,land,urban,false,europe,1,"1,192,55",2884.07,9.70,1564.86,-1.57,0.20,yes,1,3,3,"{""steel"": 4.0}","{""air_base"": 5, ""arms_factory"": 4, ""dockyard"": 3, ""industrial_complex"": 3, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\7-Holland.txt
base,3211,海牙,The Hague,10,,所属地区manpower,4123000,7,荷兰,Holland,metropolis,10,0.0,5,HOL,荷兰王国,Kingdom of Netherlands,,HOL,,land,urban,true,europe,1,"43,15,153",2873.76,9.80,1558.86,-1.57,0.16,no,,0,0,"{""steel"": 4.0}","{""air_base"": 5, ""arms_factory"": 4, ""dockyard"": 3, ""industrial_complex"": 3, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\7-Holland.txt
base,9498,鹿特丹,Rotterdam,20,,所属地区manpower,4123000,7,荷兰,Holland,metropolis,10,0.0,5,HOL,荷兰王国,Kingdom of Netherlands,,HOL,,land,urban,true,europe,1,"128,105,139",2877.59,9.70,1554.76,-1.57,0.16,yes,1,2,3,"{""steel"": 4.0}","{""air_base"": 5, ""arms_factory"": 4, ""dockyard"": 3, ""industrial_complex"": 3, ""infrastructure"": 3}","{""naval_base"": 10}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\7-Holland.txt
base,6583,卢森堡,Luxembourg,5,,所属地区manpower,294748,8,卢森堡,Luxembourg,town,4,0.0,2,LUX,卢森堡大公国,Grand Duchy of Luxembourg,,LUX,,land,forest,false,europe,1,"86,183,136",2900.78,10.90,1509.70,-1.57,0.16,yes,1,3,2,"{""steel"": 14}","{""arms_factory"": 1, ""industrial_complex"": 3, ""infrastructure"": 3}",,GER:卢森堡,GER:Luxemburg,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\8-Luxemburg.txt
base,11542,布拉格,Prague,30,,所属地区manpower,4492600,9,波希米亚,Bohemia,large_city,8,0.0,14,CZE,波希米亚王国,Kingdom of Bohemia,,CZE,,land,urban,false,europe,1,"170,183,207",3027.84,11.24,1521.00,1.57,0.22,yes,1,4,3,"{""coal"": 6, ""steel"": 5}","{""air_base"": 5, ""anti_air_building"": 5, ""arms_factory"": 6, ""industrial_complex"": 1, ""infrastructure"": 4}",,AUS:布拉格; CZE:布拉格; GER:布拉格; RKH:布拉格,AUS:Prag; CZE:Praha; GER:Prag; RKH:Prag,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\9-Czechoslovakia.txt
base,6418,比尔森,Plzen,5,,所属地区manpower,4492600,9,波希米亚,Bohemia,large_city,8,0.0,14,CZE,波希米亚王国,Kingdom of Bohemia,,CZE,,land,forest,false,europe,1,"86,0,141",3015.02,11.75,1515.00,1.57,0.22,no,,1,2,"{""coal"": 6, ""steel"": 5}","{""air_base"": 5, ""anti_air_building"": 5, ""arms_factory"": 6, ""industrial_complex"": 1, ""infrastructure"": 4}",,AUS:比尔森; GER:比尔森; RKH:比尔森,AUS:Pilsen; GER:Pilsen; RKH:Pilsen,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\9-Czechoslovakia.txt
base,9569,塔博尔,Tábor,5,,所属地区manpower,4492600,9,波希米亚,Bohemia,large_city,8,0.0,14,CZE,波希米亚王国,Kingdom of Bohemia,,CZE,,land,plains,false,europe,1,"128,198,174",3030.84,11.95,1509.00,1.57,0.24,no,,0,0,"{""coal"": 6, ""steel"": 5}","{""air_base"": 5, ""anti_air_building"": 5, ""arms_factory"": 6, ""industrial_complex"": 1, ""infrastructure"": 4}",,AUS:塔博尔; GER:塔博尔; RKH:塔博尔,AUS:Tabor; GER:Tabor; RKH:Tabor,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\9-Czechoslovakia.txt
base,3544,华沙,Warsaw,25,,所属地区manpower,3089000,10,华沙,Warsaw,large_city,8,7.0,9,POL,波兰,Poland,,POL,,land,urban,false,europe,1,"44,159,148",3129.02,9.82,1561.00,1.57,0.22,yes,1,7,2,,"{""air_base"": 5, ""anti_air_building"": 2, ""arms_factory"": 6, ""industrial_complex"": 2, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\10-Poland.txt
base,402,谢德尔采,Siedlce,1,,所属地区manpower,3089000,10,华沙,Warsaw,large_city,8,7.0,9,POL,波兰,Poland,,POL,,land,plains,false,europe,1,"1,204,220",3148.48,10.09,1566.00,1.57,0.26,yes,1,1,1,,"{""air_base"": 5, ""anti_air_building"": 2, ""arms_factory"": 6, ""industrial_complex"": 2, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\10-Poland.txt
base,6296,考纳斯,Kaunas,5,,所属地区manpower,971940,11,考纳斯,Kaunas,town,4,10.0,5,LIT,立陶宛,Lithuania,,LIT,,land,urban,false,europe,1,"85,66,21",3179.30,9.70,1620.00,1.57,0.28,yes,1,3,2,,"{""arms_factory"": 1, ""industrial_complex"": 3, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\11-Kaunas.txt
base,9357,乌克梅尔盖,Ukmergė,1,,所属地区manpower,971940,11,考纳斯,Kaunas,town,4,10.0,5,LIT,立陶宛,Lithuania,,LIT,,land,plains,false,europe,1,"127,147,99",3181.48,9.74,1630.00,1.57,0.24,no,,0,0,,"{""arms_factory"": 1, ""industrial_complex"": 3, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\11-Kaunas.txt
base,10493,瓦尔米耶拉,Valmiera,1,,所属地区manpower,408500,12,维泽梅,Vidzeme,rural,2,0.0,5,LAT,拉脱维亚,Latvia,,LAT,,land,forest,false,europe,1,"133,180,9",3203.48,10.50,1671.00,1.57,0.28,no,,0,0,"{""steel"": 1}","{""air_base"": 3, ""industrial_complex"": 1, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\12-Latvia.txt
base,3174,佩尔努,Pärnu,1,,所属地区manpower,423070,13,佩尔努,Pärnu,rural,2,6.0,6,EST,爱沙尼亚,Estonia,,EST,,land,forest,true,europe,1,"42,189,93",3179.30,9.63,1699.00,1.57,0.20,no,,0,0,"{""steel"": 2.0}","{""air_base"": 2, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\13-Estonia.txt
base,3552,布雷斯特,Brest,20,,所属地区manpower,2396600,14,布列塔尼,Brittany,city,6,0.0,10,FRA,波旁法国,Bourbon France,,FRA;BRI,,land,forest,true,europe,1,"44,168,198",2736.48,9.55,1486.00,1.57,0.22,yes,1,1,2,,"{""air_base"": 5, ""dockyard"": 5, ""infrastructure"": 3}","{""coastal_bunker"": 1, ""naval_base"": 10, ""naval_headquarters"": {""allowed"": {""has_dlc"": ""No Compromise, No Surrender""}, ""level"": 1}, ""naval_supply_hub"": 1}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\14-Brittany.txt
base,6536,洛里昂,Lorient,5,,所属地区manpower,2396600,14,布列塔尼,Brittany,city,6,0.0,10,FRA,波旁法国,Bourbon France,,FRA;BRI,,land,plains,true,europe,1,"86,117,196",2753.12,9.53,1473.00,1.57,0.24,yes,1,1,2,,"{""air_base"": 5, ""dockyard"": 5, ""infrastructure"": 3}","{""coastal_bunker"": 1, ""naval_base"": 4}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\14-Brittany.txt
base,9495,雷恩,Rennes,1,,所属地区manpower,2396600,14,布列塔尼,Brittany,city,6,0.0,10,FRA,波旁法国,Bourbon France,,FRA;BRI,,land,plains,false,europe,1,"128,102,129",2774.84,9.70,1476.00,1.57,0.24,yes,1,2,2,,"{""air_base"": 5, ""dockyard"": 5, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\14-Brittany.txt
base,9434,勒阿弗尔,Le Havre,10,,所属地区manpower,2332100,15,诺曼底,Normandy,city,6,0.0,15,FRA,波旁法国,Bourbon France,,FRA,,land,urban,true,europe,1,"128,27,139",2812.67,9.90,1507.50,-1.57,0.24,yes,1,1,1,"{""steel"": 21}","{""air_base"": 6, ""industrial_complex"": 2, ""infrastructure"": 4}","{""coastal_bunker"": 1, ""naval_base"": 5}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\15-Normandy.txt
base,6449,瑟堡,Cherbourg,3,,所属地区manpower,2332100,15,诺曼底,Normandy,city,6,0.0,15,FRA,波旁法国,Bourbon France,,FRA,,land,urban,true,europe,1,"86,24,11",2781.16,9.90,1508.29,-1.57,0.24,yes,1,1,2,"{""steel"": 21}","{""air_base"": 6, ""industrial_complex"": 2, ""infrastructure"": 4}","{""coastal_bunker"": 1, ""naval_base"": 3}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\15-Normandy.txt
base,11563,鲁昂,Rouen,5,,所属地区manpower,2332100,15,诺曼底,Normandy,city,6,0.0,15,FRA,波旁法国,Bourbon France,,FRA,,land,plains,false,europe,1,"170,210,42",2819.64,9.80,1506.00,1.57,0.20,no,,2,2,"{""steel"": 21}","{""air_base"": 6, ""industrial_complex"": 2, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\15-Normandy.txt
base,485,迪耶普,Dieppe,3,,所属地区manpower,2332100,15,诺曼底,Normandy,city,6,0.0,15,FRA,波旁法国,Bourbon France,,FRA,,land,plains,true,europe,1,"2,66,210",2822.10,9.90,1513.22,-1.57,0.20,yes,1,1,1,"{""steel"": 21}","{""air_base"": 6, ""industrial_complex"": 2, ""infrastructure"": 4}","{""naval_base"": 1}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\15-Normandy.txt
base,11506,巴黎,Paris,50,,所属地区manpower,7038500,16,法兰西岛,Ile de France,metropolis,10,0.0,9,FRA,波旁法国,Bourbon France,,FRA,,land,urban,false,europe,1,"170,138,72",2841.32,9.90,1494.15,-1.57,0.24,yes,1,10,2,,"{""air_base"": 5, ""anti_air_building"": 3, ""arms_factory"": 4, ""industrial_complex"": 4, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\16-Ile de France.txt
base,9642,贝桑松,Besancon,5,,所属地区manpower,1517500,17,弗朗什-孔泰,Franche-Comte,city,6,0.0,10,FRA,波旁法国,Bourbon France,,FRA,,land,plains,false,europe,1,"129,72,74",2895.64,10.14,1463.00,1.57,0.22,no,,2,2,"{""steel"": 28}","{""air_base"": 5, ""industrial_complex"": 1, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\17-Alcase Lorraine.txt
base,11516,南锡,Nancy,5,,所属地区manpower,1517500,17,弗朗什-孔泰,Franche-Comte,city,6,0.0,10,FRA,波旁法国,Bourbon France,,FRA,,land,forest,false,europe,1,"170,153,202",2902.30,10.32,1488.00,1.57,0.26,no,,2,2,"{""steel"": 28}","{""air_base"": 5, ""industrial_complex"": 1, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\17-Alcase Lorraine.txt
base,9490,特鲁瓦,Troyes,5,,所属地区manpower,1370800,18,香槟,Champagne,city,6,0.0,12,FRA,波旁法国,Bourbon France,,FRA,,land,plains,false,europe,1,"128,96,199",2863.30,9.90,1480.00,1.57,0.28,yes,1,1,2,,"{""air_base"": 10, ""industrial_complex"": 1, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\18-Champagne.txt
base,13011,兰斯,Reims,5,,所属地区manpower,1370800,18,香槟,Champagne,city,6,0.0,12,FRA,波旁法国,Bourbon France,,FRA,,land,plains,false,europe,1,"255,3,3",2866.82,10.00,1499.30,-1.57,0.24,yes,1,3,2,,"{""air_base"": 10, ""industrial_complex"": 1, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\18-Champagne.txt
base,3560,色当,Sedan,1,,所属地区manpower,1370800,18,香槟,Champagne,city,6,0.0,12,FRA,波旁法国,Bourbon France,,FRA,,land,forest,false,europe,1,"44,180,8",2883.40,10.60,1509.70,1.57,0.24,no,,0,0,,"{""air_base"": 10, ""industrial_complex"": 1, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\18-Champagne.txt
base,9737,波尔多,Bordeaux,20,,所属地区manpower,1140400,19,阿基坦,Aquitaine,city,6,0.0,5,FRA,波旁法国,Bourbon France,,OCC;FRA,,land,urban,true,europe,1,"129,189,134",2792.37,9.70,1413.00,1.57,0.18,yes,1,4,2,"{""aluminium"": 11, ""steel"": 14}","{""air_base"": 3, ""arms_factory"": 1, ""dockyard"": 1, ""infrastructure"": 3}","{""coastal_bunker"": 1, ""naval_base"": 3}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\19-Aquitaine.txt
base,6613,里昂,Lyon,10,,所属地区manpower,2973200,20,罗讷,Rhone,city,6,7.0,13,FRA,波旁法国,Bourbon France,,OCC;FRA,,land,urban,false,europe,1,"87,6,76",2876.72,11.06,1432.00,1.57,0.14,yes,1,4,2,"{""aluminium"": 35, ""steel"": 32}","{""air_base"": 4, ""arms_factory"": 1, ""industrial_complex"": 2, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\20-Franche-comte.txt
base,11834,马赛,Marseille,10,,所属地区manpower,1670310,21,罗讷河口,Bouches-du-Rhône,city,6,0.0,5,FRA,波旁法国,Bourbon France,,OCC;FRA,,land,urban,true,europe,1,"172,120,142",2888.64,9.50,1387.00,1.57,0.22,yes,1,3,2,"{""aluminium"": 60}","{""air_base"": 10, ""arms_factory"": 1, ""dockyard"": 1, ""fuel_silo"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}","{""coastal_bunker"": 1, ""naval_base"": 3}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\21-Bouches-du-Rhone.txt
base,9898,蒙彼利埃,Montpellier,1,,所属地区manpower,1691200,22,朗格多克,Languedoc,town,4,12.0,11,FRA,波旁法国,Bourbon France,,OCC;FRA,,land,plains,true,europe,1,"130,171,144",2863.84,9.91,1392.00,1.57,0.20,no,,1,2,"{""aluminium"": 50, ""steel"": 27}","{""air_base"": 2, ""industrial_complex"": 2, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\22-Roussillion.txt
base,6657,拉罗谢尔,La Rochelle,5,,所属地区manpower,1603100,23,普瓦图,Poitou,town,4,0.0,10,FRA,波旁法国,Bourbon France,,FRA,,land,plains,true,europe,1,"87,36,131",2787.30,9.50,1440.00,1.57,0.30,yes,1,1,2,"{""steel"": 12}","{""industrial_complex"": 1, ""infrastructure"": 3}","{""naval_base"": 3}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\23-Poitou.txt
base,3671,图尔,Tours,10,,所属地区manpower,1546300,24,中央大区,Centre,large_town,5,15.0,9,FRA,波旁法国,Bourbon France,,FRA,,land,plains,false,europe,1,"45,69,38",2814.30,9.74,1463.00,1.57,0.14,yes,1,5,2,,"{""industrial_complex"": 2, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\24-Centre.txt
base,512,奥尔良,Orleans,15,,所属地区manpower,1546300,24,中央大区,Centre,large_town,5,15.0,9,FRA,波旁法国,Bourbon France,,FRA,,land,plains,false,europe,1,"2,105,165",2833.92,10.12,1477.00,1.57,0.20,yes,1,3,2,,"{""industrial_complex"": 2, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\24-Centre.txt
base,620,利摩日,Limoges,5,,所属地区manpower,1343700,25,利穆赞,Limousin,large_town,5,0.0,13,FRA,波旁法国,Bourbon France,,OCC;FRA,,land,forest,false,europe,1,"3,21,135",2823.84,10.10,1434.00,1.57,0.24,yes,1,4,2,"{""coal"": 2}","{""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\25-Limousin.txt
base,3594,维希,Vichy,3,,所属地区manpower,877800,26,奥弗涅,Auvergne,town,4,6.0,11,FRA,波旁法国,Bourbon France,,OCC;FRA,,land,hills,false,europe,1,"45,3,203",2863.56,11.21,1439.00,1.57,0.16,yes,1,4,2,"{""coal"": 2}","{""industrial_complex"": 1, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\26-Bourgogne.txt
base,3652,第戎,Dijon,5,,所属地区manpower,1370800,27,勃艮第,Bourgogne,city,6,0.0,12,FRA,波旁法国,Bourbon France,,FRA,,land,plains,false,europe,1,"45,45,168",2882.30,10.56,1462.00,1.57,0.22,yes,1,3,2,"{""aluminium"": 11}","{""air_base"": 2, ""industrial_complex"": 2, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\27-Champagne2.txt
base,678,米卢斯,Mulhouse,5,,所属地区manpower,1915600,28,阿尔萨斯-洛林,Alsace-Lorraine,city,6,14.0,8,FRA,波旁法国,Bourbon France,,FRA,,land,hills,false,europe,1,"3,78,75",2916.20,12.85,1470.00,1.57,0.20,yes,1,3,2,"{""coal"": 5, ""steel"": 42}","{""air_base"": 5, ""anti_air_building"": 5, ""industrial_complex"": 3, ""infrastructure"": 4}","{""bunker"": 10}",GER:米尔豪森,GER:Mülhausen,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\28-Alcase.txt
base,9503,斯特拉斯堡,Strasbourg,5,,所属地区manpower,1915600,28,阿尔萨斯-洛林,Alsace-Lorraine,city,6,14.0,8,FRA,波旁法国,Bourbon France,,FRA,,land,urban,false,europe,1,"128,111,74",2923.37,11.97,1488.00,1.57,0.18,yes,1,3,2,"{""coal"": 5, ""steel"": 42}","{""air_base"": 5, ""anti_air_building"": 5, ""industrial_complex"": 3, ""infrastructure"": 4}","{""bunker"": 10}",GER:施特拉斯堡,GER:Straßburg,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\28-Alcase.txt
base,9559,梅斯,Metz,10,,所属地区manpower,1915600,28,阿尔萨斯-洛林,Alsace-Lorraine,city,6,14.0,8,FRA,波旁法国,Bourbon France,,FRA,,land,hills,false,europe,1,"128,186,9",2898.72,10.70,1501.00,1.57,0.14,yes,1,3,2,"{""coal"": 5, ""steel"": 42}","{""air_base"": 5, ""anti_air_building"": 5, ""industrial_complex"": 3, ""infrastructure"": 4}","{""bunker"": 10}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\28-Alcase.txt
base,575,敦刻尔克,Dunkerque,5,,所属地区manpower,2976400,29,北部-加来海峡,Nord-Pas-de-Calais,large_city,8,15.0,8,FRA,波旁法国,Bourbon France,,FRA,,land,plains,true,europe,1,"2,195,225",2840.37,9.70,1535.00,1.57,0.16,no,,1,1,"{""aluminium"": 8, ""coal"": 30, ""steel"": 24}","{""air_base"": 10, ""industrial_complex"": 3, ""infrastructure"": 4}","{""naval_base"": 6}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\29-Pas de Calais.txt
base,11483,里尔,Lille,10,,所属地区manpower,2976400,29,北部-加来海峡,Nord-Pas-de-Calais,large_city,8,15.0,8,FRA,波旁法国,Bourbon France,,FRA,,land,urban,false,europe,1,"170,111,182",2850.24,9.90,1527.51,-1.57,0.20,no,,3,2,"{""aluminium"": 8, ""coal"": 30, ""steel"": 24}","{""air_base"": 10, ""industrial_complex"": 3, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\29-Pas de Calais.txt
base,11548,加来,Calais,15,,所属地区manpower,2976400,29,北部-加来海峡,Nord-Pas-de-Calais,large_city,8,15.0,8,FRA,波旁法国,Bourbon France,,FRA,,land,plains,true,europe,1,"170,192,97",2832.56,9.70,1532.00,1.57,0.16,yes,1,1,1,"{""aluminium"": 8, ""coal"": 30, ""steel"": 24}","{""air_base"": 10, ""industrial_complex"": 3, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\29-Pas de Calais.txt
base,11465,南特,Nantes,5,,所属地区manpower,1388400,30,卢瓦尔,Loire,city,6,0.0,11,FRA,波旁法国,Bourbon France,,FRA,,land,urban,true,europe,1,"170,87,162",2772.76,9.70,1466.00,1.57,0.18,yes,1,2,2,,"{""air_base"": 2, ""dockyard"": 1, ""industrial_complex"": 1, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\30-Loire.txt
base,6766,图卢兹,Toulouse,5,,所属地区manpower,1825000,31,南部-比利牛斯,Midi Pyrenees,city,6,0.0,18,FRA,波旁法国,Bourbon France,,OCC;FRA,,land,urban,false,europe,1,"87,171,81",2826.37,10.00,1391.00,1.57,0.18,yes,1,4,2,,"{""air_base"": 2, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\31-Midi Pyrenees.txt
